iso3,country,region,isor,continent,isono,cregion
SYC,Seychelles,Eastern Africa,EAFR,Africa,690,Sub-Saharan Africa
SSD,South Sudan,Eastern Africa,EAFR,Africa,728,Sub-Saharan Africa
BDI,Burundi,Eastern Africa,EAFR,Africa,108,Sub-Saharan Africa
COM,Comoros,Eastern Africa,EAFR,Africa,174,Sub-Saharan Africa
DJI,Djibouti,Eastern Africa,EAFR,Africa,262,Sub-Saharan Africa
ERI,Eritrea,Eastern Africa,EAFR,Africa,232,Sub-Saharan Africa
ETH,Ethiopia,Eastern Africa,EAFR,Africa,231,Sub-Saharan Africa
KEN,Kenya,Eastern Africa,EAFR,Africa,404,Sub-Saharan Africa
MDG,Madagascar,Eastern Africa,EAFR,Africa,450,Sub-Saharan Africa
MWI,Malawi,Eastern Africa,EAFR,Africa,454,Sub-Saharan Africa
MUS,Mauritius,Eastern Africa,EAFR,Africa,480,Sub-Saharan Africa
MYT,Mayotte,Eastern Africa,EAFR,Africa,175,Sub-Saharan Africa
MOZ,Mozambique,Eastern Africa,EAFR,Africa,508,Sub-Saharan Africa
REU,Réunion,Eastern Africa,EAFR,Africa,638,Sub-Saharan Africa
RWA,Rwanda,Eastern Africa,EAFR,Africa,646,Sub-Saharan Africa
SOM,Somalia,Eastern Africa,EAFR,Africa,706,Sub-Saharan Africa
UGA,Uganda,Eastern Africa,EAFR,Africa,800,Sub-Saharan Africa
TZA,Tanzania,Eastern Africa,EAFR,Africa,834,Sub-Saharan Africa
ZMB,Zambia,Eastern Africa,EAFR,Africa,894,Sub-Saharan Africa
ZWE,Zimbabwe,Eastern Africa,EAFR,Africa,716,Sub-Saharan Africa
AGO,Angola,Middle Africa,MAFR,Africa,24,Sub-Saharan Africa
CMR,Cameroon,Middle Africa,MAFR,Africa,120,Sub-Saharan Africa
CAF,Central African Republic,Middle Africa,MAFR,Africa,140,Sub-Saharan Africa
TCD,Chad,Middle Africa,MAFR,Africa,148,Sub-Saharan Africa
COG,Republic of Congo,Middle Africa,MAFR,Africa,178,Sub-Saharan Africa
COD,Democratic Republic of the Congo,Middle Africa,MAFR,Africa,180,Sub-Saharan Africa
